age,airbag,injury,restraint,sex,inimpact,modelyr,airbagAvail,year
55,30,0,3,1,9,1995,0,1998
10,30,4,3,2,12,1991,0,1998
55,20,2,3,2,9,1995,1,1998
65,30,3,3,2,12,1995,0,1998
75,30,4,0,1,12,1987,0,1998
85,30,4,3,2,12,1992,0,1998
15,30,4,0,2,12,1990,0,1998
15,30,0,3,2,6,1990,0,1998
20,20,4,0,1,3,1995,1,1998
10,30,3,3,1,9,1994,0,1998
80,1,4,3,1,12,1995,1,1998
35,20,3,3,2,0,1996,1,1998
35,20,0,3,2,6,1994,1,1998
55,20,0,3,1,6,1998,1,1998
15,30,3,9,2,0,1992,0,1998
40,30,4,0,2,12,1994,0,1998
50,20,4,0,2,3,1998,1,1998
0,30,1,0,2,0,1995,0,1998
15,20,4,3,1,0,1998,1,1998
70,30,4,0,2,3,1973,0,1998
15,30,4,3,2,12,1993,0,1998
15,30,3,3,2,0,1991,0,1998
20,30,2,3,1,12,1984,0,1998
25,30,3,3,2,12,1988,0,1998
30,20,4,0,2,14,1997,1,1998
30,20,1,3,1,9,1996,1,1998
35,30,0,3,2,9,1984,0,1998
25,30,3,3,2,12,1985,0,1998
75,30,4,3,2,12,1991,0,1998
80,-1,0,3,2,6,1992,2,1998
15,20,1,0,1,3,1997,1,1998
65,30,4,3,2,12,1992,0,1998
65,30,0,3,2,3,1982,0,1998
20,30,4,0,1,3,1969,0,1998
20,30,4,0,1,3,1987,0,1998
30,1,2,3,1,12,1998,1,1998
10,20,2,3,2,6,1997,1,1998
25,30,0,3,1,12,1983,0,1998
90,20,0,9,2,12,1997,1,1998
20,30,2,3,1,12,1989,0,1998
15,30,1,3,2,12,1989,0,1998
20,30,4,9,1,3,1993,0,1998
30,30,4,3,2,9,1988,0,1998
15,1,0,3,1,12,1996,1,1998
75,30,4,3,2,12,1993,0,1998
15,20,0,3,2,12,1998,1,1998
45,30,3,3,2,6,1991,0,1998
35,20,2,3,2,12,1995,1,1998
30,30,3,0,2,3,1971,0,1998
30,20,0,9,1,3,1995,1,1998
80,30,4,3,2,12,1992,0,1998
25,30,3,3,1,12,1990,0,1998
15,30,4,3,1,3,1993,0,1998
75,1,0,3,2,12,1993,1,1998
20,30,2,0,1,0,1984,0,1998
15,30,4,0,2,9,1989,0,1998
15,30,0,3,1,3,1987,0,1998
30,30,3,3,2,9,1989,0,1998
45,1,4,0,1,12,1996,1,1998
20,30,1,3,1,3,1995,0,1998
25,20,3,3,2,3,1998,1,1998
15,30,0,3,2,3,1988,0,1998
20,30,4,0,1,3,1990,0,1998
65,30,2,3,1,9,1984,0,1998
15,30,3,0,1,3,1993,0,1998
35,30,3,0,1,6,1988,0,1998
25,30,0,3,2,12,1990,0,1998
20,30,4,0,2,12,1992,0,1998
80,20,2,3,1,9,1997,1,1998
5,30,1,9,2,9,1992,0,1998
30,30,2,9,1,12,1986,0,1998
20,30,4,3,1,12,1992,0,1998
70,30,4,3,2,12,1993,0,1998
5,30,0,3,1,9,1994,0,1998
20,20,0,3,2,12,1994,1,1998
20,30,1,3,2,9,1991,0,1998
65,1,4,0,1,9,1997,1,1998
30,20,1,3,2,9,1997,1,1998
40,30,4,3,2,3,1984,0,1998
0,30,1,3,2,0,1988,0,1998
45,1,2,3,2,12,1997,1,1998
15,30,4,3,2,12,1987,0,1998
50,20,0,3,1,6,1998,1,1998
20,-1,4,3,1,12,1989,2,1998
25,1,1,3,1,12,1997,1,1998
5,20,2,9,2,6,1985,1,1998
15,30,3,3,1,12,1986,0,1998
5,30,3,3,2,3,1985,0,1998
25,1,3,3,2,12,1992,1,1998
35,30,2,0,1,3,1984,0,1998
20,1,4,0,2,3,1995,1,1998
55,30,4,3,2,12,1987,0,1998
