"""state""","""age""","""airbag""","""injury""","""restraint""","""sex""","""inimpact""","""modelyr""","""airbagAvail""","""airbagDeploy""","""Restraint""","""D_injury""","""D_airbagAvail""","""D_airbagDeploy""","""D_Restraint""","""year"""
1,20,30,3,1,2,12,1991,0,0,1,3,0,0,1,1998
1,41,30,2,0,1,3,1987,0,0,0,2,0,0,0,1998
1,26,30,3,0,1,6,1983,0,0,0,4,0,0,0,1998
1,17,1,4,0,1,9,1997,1,1,0,4,1,1,0,1998
1,19,30,3,0,1,12,1998,0,0,0,4,1,1,0,1998
1,1,30,4,4,1,3,1991,0,0,1,3,0,0,1,1998
1,24,1,3,0,1,3,1995,1,1,0,3,1,1,1,1998
1,50,30,4,3,2,3,1984,0,0,1,3,0,0,1,1998
1,16,30,4,3,2,12,1991,0,0,1,3,1,1,1,1998
1,53,30,4,0,1,3,1988,0,0,0,4,0,0,0,1998
1,1,30,4,4,2,3,1981,0,0,1,3,0,0,1,1998
1,24,1,3,3,1,12,1996,1,1,1,3,1,1,1,1998
1,65,30,4,0,2,9,1984,0,0,0,4,0,0,1,1998
1,68,30,4,3,2,3,1991,0,0,1,4,0,0,1,1998
1,73,20,1,3,2,9,1997,1,0,1,4,1,0,1,1998
1,18,30,4,0,2,9,1991,0,0,0,3,1,0,0,1998
1,37,30,4,0,1,12,1981,0,0,0,0,0,0,0,1998
1,999,30,0,3,2,9,1990,0,0,1,0,0,0,1,1998
1,50,30,4,3,1,12,1991,0,0,1,4,0,0,1,1998
1,999,30,0,3,1,12,1993,0,0,1,0,1,0,1,1998
1,19,30,3,3,1,12,1985,0,0,1,4,0,0,1,1998
1,58,30,4,0,2,3,1994,0,0,0,3,0,0,0,1998
1,24,1,4,3,2,12,1997,1,1,1,4,1,1,1,1998
1,71,99,4,99,2,12,1981,2,2,2,3,2,2,2,1998
1,16,1,3,3,1,12,1996,1,1,1,3,1,1,1,1998
1,42,20,4,3,2,3,1995,1,0,1,3,1,0,1,1998
1,999,30,0,3,2,6,1995,0,0,1,0,1,0,1,1998
1,19,30,3,0,1,9,1978,0,0,0,4,0,0,0,1998
1,39,1,4,0,2,14,1989,1,1,0,2,1,1,0,1998
1,56,30,3,3,2,9,1991,0,0,1,4,0,0,1,1998
1,16,30,4,3,2,12,1995,0,0,1,2,0,0,1,1998
1,19,30,3,0,1,12,1983,0,0,0,4,0,0,0,1998
1,83,1,3,3,2,6,1994,1,1,1,3,1,1,1,1998
1,30,30,3,0,2,9,1979,0,0,0,4,0,0,0,1998
1,26,30,4,0,1,12,1990,0,0,0,3,0,0,0,1998
1,999,30,0,3,2,12,1990,0,0,1,0,0,0,1,1998
1,8,30,3,0,1,12,1989,0,0,0,4,0,0,0,1998
1,50,1,3,3,2,0,1997,1,1,1,4,1,1,1,1998
1,35,30,3,0,1,12,1987,0,0,0,4,0,0,0,1998
1,31,30,3,3,2,9,1985,0,0,1,3,0,0,1,1998
1,999,30,0,0,2,0,1988,0,0,0,3,0,0,0,1998
1,9,30,3,0,2,12,1994,0,0,0,4,1,1,0,1998
