attr	number of different values
""	151158


****************

"caseid"	71737


****************

"state"	51

56 512
54 1428
42 5743
50 273
49 1182
53 2294
24 2369
25 1416
26 4568
27 1984
20 1543
21 3172
22 3092
23 678
46 544
47 4484
44 336
45 3813
28 3181
29 4052
40 2445
41 1654
1 3863
2 257
5 2033
4 3853
6 15295
9 1171
8 2505
51 2772
39 4835
38 327
11 196
10 504
13 5862
12 11777
15 450
48 12669
17 4927
16 956
19 1332
18 2664
31 1010
30 767
37 6145
36 5313
35 1699
34 2699
33 473
55 2612
32 1429

****************

"age"	102


****************

"airbag"	15

99 6917
20 30390
98 210
32 53
31 26
30 55729
28 30
29 12820
1 38651
0 1358
3 40
2 1030
7 43
9 2391
8 1470

****************

"injury"	7

1 13672
0 24386
3 30590
2 26798
5 373
4 55338
8 1

****************

"restraint"	15

11 2
99 10509
13 228
12 4
14 64
10 8
98 26
1 1330
0 44198
3 87879
2 1372
4 597
7 1962
8 2978
97 1

****************

"sex"	3

1 73717
9 879
2 76562

****************

"inimpact"	24

61 88
62 68
63 25
82 58
83 43
81 87
1 7113
0 10286
3 15925
2 4069
5 1680
4 1690
7 1958
6 7289
9 13764
8 1620
99 2326
98 42
11 8432
10 3595
13 1113
12 66878
14 2911
18 98

****************

"modelyr"	77


****************

"airbagAvail"	3

"no" 55729
"NA-code" 8485
"yes" 86944

****************

"airbagDeploy"	3

"no" 86228
"NA-code" 21305
"yes" 43625

****************

"Restraint"	3

"no" 46452
"NA-code" 10535
"yes" 94171

****************

"D_injury"	7

1 13977
0 25894
3 31166
2 27474
5 420
4 52226
8 1

****************

"D_airbagAvail"	3

"no" 45087
"NA-code" 7232
"yes" 98839

****************

"D_airbagDeploy"	3

"no" 78480
"NA-code" 21096
"yes" 51582

****************

"D_Restraint"	3

"no" 44629
"NA-code" 10505
"yes" 96024

****************

"year"	13

1999 12962
1998 13100
2002 13153
2003 12599
2000 12895
2001 12907
2006 11646
2007 10945
2004 12537
2005 12017
2008 9659
2009 8762
2010 7976

****************

